[INFO] [1776597218.319104442] [yolo_node]: Loading TensorRT FP16 model...
WARNING ⚠️ Unable to automatically guess model task, assuming 'task=detect'. Explicitly define task for your model, i.e. 'task=detect', 'segment', 'classify','pose' or 'obb'.
[INFO] [1776597218.321134270] [yolo_node]: Model loaded.
[INFO] [1776597218.331815648] [yolo_node]: Logging to /home/moon/jeongin/Pixhawk_ReID/results/20260419_201300/log.csv
[INFO] [1776597218.333087853] [yolo_node]: Detection events → /home/moon/jeongin/Pixhawk_ReID/results/20260419_201300/detection_log.csv
Loading /home/moon/jeongin/Pixhawk_ReID/ros2_nodes/../models/yolo26n.engine for TensorRT inference...
[04/19/2026-20:13:50] [TRT] [I] Loaded engine size: 8 MiB
[04/19/2026-20:13:50] [TRT] [W] Using an engine plan file across different models of devices is not recommended and is likely to affect performance or even cause errors.
[04/19/2026-20:13:50] [TRT] [I] [MemUsageChange] TensorRT-managed allocation in engine deserialization: CPU +0, GPU +4, now: CPU 0, GPU 4 (MiB)
[04/19/2026-20:13:50] [TRT] [I] [MemUsageChange] TensorRT-managed allocation in IExecutionContext creation: CPU +0, GPU +9, now: CPU 0, GPU 13 (MiB)
[START] {'cls': 0, 'conf': 0.873, 'bbox': [12, 25, 431, 638]}
ROS=163.8ms | YOLO=13.2ms | total=21.2ms | ROI=13.6KB | det=1 | GPU=42% | pwr=8252mW
ROS=152.6ms | YOLO=13.3ms | total=22.2ms | ROI=13.7KB | det=1 | GPU=42% | pwr=8252mW
ROS=160.7ms | YOLO=13.0ms | total=20.7ms | ROI=13.6KB | det=1 | GPU=42% | pwr=8252mW
ROS=149.2ms | YOLO=13.6ms | total=22.8ms | ROI=13.7KB | det=1 | GPU=42% | pwr=8252mW
ROS=158.5ms | YOLO=13.3ms | total=21.1ms | ROI=13.8KB | det=1 | GPU=42% | pwr=8252mW
ROS=164.2ms | YOLO=13.2ms | total=21.0ms | ROI=14.0KB | det=1 | GPU=42% | pwr=8252mW
ROS=154.6ms | YOLO=13.5ms | total=21.4ms | ROI=14.2KB | det=1 | GPU=42% | pwr=8252mW
ROS=160.4ms | YOLO=13.4ms | total=21.0ms | ROI=14.3KB | det=1 | GPU=42% | pwr=8252mW
ROS=166.8ms | YOLO=13.2ms | total=21.3ms | ROI=14.4KB | det=1 | GPU=42% | pwr=8252mW
ROS=156.7ms | YOLO=13.2ms | total=20.8ms | ROI=14.5KB | det=1 | GPU=42% | pwr=8252mW
ROS=163.1ms | YOLO=13.0ms | total=20.6ms | ROI=14.6KB | det=1 | GPU=42% | pwr=8252mW
ROS=150.9ms | YOLO=12.8ms | total=20.7ms | ROI=14.5KB | det=1 | GPU=42% | pwr=8252mW
ROS=156.3ms | YOLO=13.2ms | total=21.1ms | ROI=14.6KB | det=1 | GPU=42% | pwr=8252mW
ROS=163.1ms | YOLO=13.0ms | total=20.6ms | ROI=14.6KB | det=1 | GPU=42% | pwr=8252mW
ROS=151.7ms | YOLO=12.9ms | total=20.9ms | ROI=14.6KB | det=1 | GPU=42% | pwr=8252mW
ROS=157.5ms | YOLO=13.2ms | total=20.9ms | ROI=14.6KB | det=1 | GPU=42% | pwr=8252mW
ROS=164.8ms | YOLO=13.6ms | total=21.3ms | ROI=14.7KB | det=1 | GPU=42% | pwr=8252mW
ROS=154.2ms | YOLO=13.2ms | total=21.0ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8252mW
ROS=160.4ms | YOLO=13.2ms | total=20.8ms | ROI=14.7KB | det=1 | GPU=42% | pwr=8252mW
ROS=165.8ms | YOLO=13.0ms | total=20.7ms | ROI=14.7KB | det=1 | GPU=42% | pwr=8252mW
ROS=151.4ms | YOLO=13.1ms | total=21.0ms | ROI=14.7KB | det=1 | GPU=42% | pwr=8252mW
ROS=160.2ms | YOLO=13.3ms | total=20.7ms | ROI=14.7KB | det=1 | GPU=42% | pwr=8252mW
ROS=166.3ms | YOLO=13.1ms | total=20.9ms | ROI=14.7KB | det=1 | GPU=42% | pwr=8252mW
ROS=156.1ms | YOLO=13.5ms | total=21.4ms | ROI=14.7KB | det=1 | GPU=42% | pwr=8252mW
ROS=163.0ms | YOLO=13.3ms | total=21.1ms | ROI=14.5KB | det=1 | GPU=42% | pwr=8252mW
ROS=151.6ms | YOLO=13.0ms | total=21.0ms | ROI=14.4KB | det=1 | GPU=42% | pwr=8252mW
ROS=157.8ms | YOLO=13.2ms | total=20.9ms | ROI=14.4KB | det=1 | GPU=42% | pwr=8252mW
ROS=164.0ms | YOLO=13.6ms | total=21.5ms | ROI=14.4KB | det=1 | GPU=42% | pwr=8252mW
ROS=151.7ms | YOLO=13.4ms | total=21.3ms | ROI=14.3KB | det=1 | GPU=42% | pwr=8252mW
ROS=159.4ms | YOLO=12.9ms | total=20.4ms | ROI=14.4KB | det=1 | GPU=42% | pwr=8252mW
ROS=161.4ms | YOLO=13.2ms | total=21.1ms | ROI=14.4KB | det=1 | GPU=42% | pwr=8252mW
ROS=155.1ms | YOLO=13.3ms | total=21.4ms | ROI=14.4KB | det=1 | GPU=42% | pwr=8252mW
ROS=161.9ms | YOLO=13.1ms | total=20.7ms | ROI=14.4KB | det=1 | GPU=42% | pwr=8252mW
ROS=167.6ms | YOLO=13.1ms | total=21.2ms | ROI=14.4KB | det=1 | GPU=42% | pwr=8252mW
ROS=156.3ms | YOLO=13.3ms | total=21.0ms | ROI=14.5KB | det=1 | GPU=42% | pwr=8252mW
ROS=162.7ms | YOLO=13.3ms | total=21.2ms | ROI=14.5KB | det=1 | GPU=42% | pwr=8252mW
ROS=152.9ms | YOLO=12.9ms | total=21.3ms | ROI=14.6KB | det=1 | GPU=42% | pwr=8252mW
ROS=159.3ms | YOLO=13.6ms | total=21.5ms | ROI=14.5KB | det=1 | GPU=42% | pwr=8252mW
ROS=166.1ms | YOLO=13.8ms | total=21.8ms | ROI=14.5KB | det=1 | GPU=42% | pwr=8252mW
ROS=156.1ms | YOLO=13.3ms | total=21.0ms | ROI=14.5KB | det=1 | GPU=42% | pwr=8252mW
ROS=162.0ms | YOLO=13.0ms | total=21.0ms | ROI=14.6KB | det=1 | GPU=42% | pwr=8252mW
ROS=151.3ms | YOLO=13.1ms | total=21.3ms | ROI=14.6KB | det=1 | GPU=42% | pwr=8252mW
ROS=158.3ms | YOLO=13.3ms | total=21.0ms | ROI=14.6KB | det=1 | GPU=42% | pwr=8252mW
ROS=164.5ms | YOLO=13.3ms | total=22.1ms | ROI=14.7KB | det=1 | GPU=31% | pwr=8213mW
ROS=152.4ms | YOLO=13.5ms | total=21.4ms | ROI=14.6KB | det=1 | GPU=31% | pwr=8213mW
ROS=159.6ms | YOLO=13.1ms | total=20.6ms | ROI=14.6KB | det=1 | GPU=31% | pwr=8213mW
ROS=165.1ms | YOLO=13.4ms | total=22.1ms | ROI=14.6KB | det=1 | GPU=31% | pwr=8213mW
ROS=156.8ms | YOLO=13.3ms | total=21.0ms | ROI=14.7KB | det=1 | GPU=31% | pwr=8213mW
ROS=163.8ms | YOLO=13.2ms | total=21.4ms | ROI=14.6KB | det=1 | GPU=31% | pwr=8213mW
ROS=152.8ms | YOLO=14.2ms | total=22.2ms | ROI=14.6KB | det=1 | GPU=31% | pwr=8213mW
ROS=160.5ms | YOLO=13.1ms | total=20.7ms | ROI=14.6KB | det=1 | GPU=31% | pwr=8213mW
ROS=166.7ms | YOLO=13.3ms | total=21.3ms | ROI=14.6KB | det=1 | GPU=31% | pwr=8213mW
ROS=155.3ms | YOLO=13.2ms | total=21.0ms | ROI=14.6KB | det=1 | GPU=31% | pwr=8213mW
ROS=161.6ms | YOLO=13.0ms | total=20.6ms | ROI=14.6KB | det=1 | GPU=31% | pwr=8213mW
ROS=167.7ms | YOLO=13.3ms | total=21.6ms | ROI=14.6KB | det=1 | GPU=31% | pwr=8213mW
ROS=157.1ms | YOLO=13.4ms | total=21.1ms | ROI=14.7KB | det=1 | GPU=31% | pwr=8213mW
ROS=163.9ms | YOLO=13.2ms | total=21.2ms | ROI=14.7KB | det=1 | GPU=31% | pwr=8213mW
ROS=152.2ms | YOLO=13.2ms | total=21.1ms | ROI=14.6KB | det=1 | GPU=31% | pwr=8213mW
ROS=158.1ms | YOLO=13.0ms | total=20.4ms | ROI=14.6KB | det=1 | GPU=31% | pwr=8213mW
ROS=163.5ms | YOLO=12.9ms | total=20.6ms | ROI=14.6KB | det=1 | GPU=31% | pwr=8213mW
ROS=152.4ms | YOLO=13.1ms | total=21.0ms | ROI=14.7KB | det=1 | GPU=31% | pwr=8213mW
ROS=159.9ms | YOLO=13.1ms | total=20.7ms | ROI=14.7KB | det=1 | GPU=31% | pwr=8213mW
ROS=165.3ms | YOLO=13.2ms | total=21.0ms | ROI=14.7KB | det=1 | GPU=31% | pwr=8213mW
ROS=154.3ms | YOLO=13.1ms | total=20.8ms | ROI=14.6KB | det=1 | GPU=31% | pwr=8213mW
ROS=159.9ms | YOLO=13.0ms | total=20.7ms | ROI=14.8KB | det=1 | GPU=31% | pwr=8213mW
ROS=166.2ms | YOLO=13.0ms | total=21.0ms | ROI=14.7KB | det=1 | GPU=31% | pwr=8213mW
ROS=156.5ms | YOLO=13.2ms | total=20.8ms | ROI=14.7KB | det=1 | GPU=31% | pwr=8213mW
ROS=161.8ms | YOLO=13.0ms | total=20.6ms | ROI=14.7KB | det=1 | GPU=31% | pwr=8213mW
ROS=167.7ms | YOLO=13.0ms | total=20.9ms | ROI=14.7KB | det=1 | GPU=31% | pwr=8213mW
ROS=157.0ms | YOLO=13.0ms | total=20.6ms | ROI=14.8KB | det=1 | GPU=31% | pwr=8213mW
ROS=162.7ms | YOLO=13.1ms | total=22.7ms | ROI=14.8KB | det=1 | GPU=31% | pwr=8213mW
ROS=153.4ms | YOLO=13.5ms | total=21.5ms | ROI=14.7KB | det=1 | GPU=31% | pwr=8213mW
ROS=160.8ms | YOLO=13.1ms | total=20.6ms | ROI=14.8KB | det=1 | GPU=31% | pwr=8213mW
ROS=165.6ms | YOLO=13.2ms | total=21.0ms | ROI=14.7KB | det=1 | GPU=31% | pwr=8213mW
ROS=154.6ms | YOLO=13.3ms | total=21.3ms | ROI=14.7KB | det=1 | GPU=31% | pwr=8213mW
ROS=161.3ms | YOLO=13.1ms | total=20.7ms | ROI=14.7KB | det=1 | GPU=31% | pwr=8213mW
ROS=166.6ms | YOLO=13.2ms | total=21.3ms | ROI=14.8KB | det=1 | GPU=31% | pwr=8213mW
ROS=155.7ms | YOLO=13.0ms | total=20.7ms | ROI=14.8KB | det=1 | GPU=31% | pwr=8213mW
ROS=162.6ms | YOLO=13.1ms | total=21.2ms | ROI=14.8KB | det=1 | GPU=31% | pwr=8213mW
ROS=151.5ms | YOLO=13.2ms | total=22.0ms | ROI=14.7KB | det=1 | GPU=31% | pwr=8213mW
ROS=159.1ms | YOLO=13.1ms | total=20.8ms | ROI=14.7KB | det=1 | GPU=31% | pwr=8213mW
ROS=164.3ms | YOLO=13.2ms | total=21.1ms | ROI=14.8KB | det=1 | GPU=31% | pwr=8213mW
ROS=153.1ms | YOLO=13.0ms | total=21.3ms | ROI=14.7KB | det=1 | GPU=31% | pwr=8213mW
ROS=159.0ms | YOLO=13.3ms | total=21.1ms | ROI=14.8KB | det=1 | GPU=31% | pwr=8213mW
ROS=166.4ms | YOLO=13.1ms | total=21.1ms | ROI=14.8KB | det=1 | GPU=31% | pwr=8213mW
ROS=155.5ms | YOLO=13.1ms | total=20.8ms | ROI=14.8KB | det=1 | GPU=31% | pwr=8213mW
ROS=163.0ms | YOLO=13.0ms | total=20.9ms | ROI=14.8KB | det=1 | GPU=31% | pwr=8213mW
ROS=151.3ms | YOLO=13.2ms | total=21.1ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=158.8ms | YOLO=13.2ms | total=21.0ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=164.7ms | YOLO=13.3ms | total=21.2ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=152.8ms | YOLO=13.4ms | total=21.2ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=160.4ms | YOLO=13.1ms | total=20.7ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=164.5ms | YOLO=13.2ms | total=20.9ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=153.2ms | YOLO=13.5ms | total=21.5ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=161.9ms | YOLO=12.9ms | total=20.6ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=166.7ms | YOLO=13.1ms | total=21.2ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=157.0ms | YOLO=13.0ms | total=20.8ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=162.7ms | YOLO=13.1ms | total=20.9ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=151.4ms | YOLO=13.4ms | total=21.5ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=157.5ms | YOLO=13.2ms | total=20.9ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=164.1ms | YOLO=13.3ms | total=21.3ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=153.5ms | YOLO=13.3ms | total=21.3ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=161.3ms | YOLO=13.0ms | total=20.6ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=165.7ms | YOLO=12.9ms | total=20.9ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=155.5ms | YOLO=13.1ms | total=20.9ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=161.8ms | YOLO=12.9ms | total=20.5ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=167.3ms | YOLO=12.9ms | total=20.9ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=155.5ms | YOLO=13.0ms | total=20.7ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=162.5ms | YOLO=13.3ms | total=20.9ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=151.0ms | YOLO=13.0ms | total=21.1ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=158.7ms | YOLO=13.1ms | total=21.0ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=164.5ms | YOLO=13.2ms | total=21.0ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=152.1ms | YOLO=13.2ms | total=21.2ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=159.6ms | YOLO=13.8ms | total=21.4ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=166.2ms | YOLO=13.6ms | total=21.6ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=156.6ms | YOLO=13.3ms | total=21.5ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=163.2ms | YOLO=13.2ms | total=21.0ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=151.9ms | YOLO=13.3ms | total=22.0ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=159.0ms | YOLO=13.6ms | total=21.2ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=166.0ms | YOLO=13.5ms | total=21.4ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=153.7ms | YOLO=13.3ms | total=21.4ms | ROI=14.6KB | det=1 | GPU=42% | pwr=8174mW
ROS=162.1ms | YOLO=13.0ms | total=20.6ms | ROI=14.7KB | det=1 | GPU=42% | pwr=8174mW
ROS=150.8ms | YOLO=12.9ms | total=20.9ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=157.8ms | YOLO=13.3ms | total=21.3ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=164.5ms | YOLO=13.4ms | total=21.3ms | ROI=14.7KB | det=1 | GPU=42% | pwr=8174mW
ROS=153.0ms | YOLO=13.3ms | total=21.3ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=159.1ms | YOLO=13.3ms | total=21.0ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=166.2ms | YOLO=13.3ms | total=21.1ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=154.2ms | YOLO=13.0ms | total=20.9ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=161.6ms | YOLO=12.9ms | total=20.5ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=166.4ms | YOLO=13.2ms | total=20.8ms | ROI=14.6KB | det=1 | GPU=42% | pwr=8174mW
ROS=155.6ms | YOLO=13.0ms | total=20.8ms | ROI=14.7KB | det=1 | GPU=42% | pwr=8174mW
ROS=162.1ms | YOLO=13.0ms | total=20.8ms | ROI=14.6KB | det=1 | GPU=42% | pwr=8174mW
ROS=166.5ms | YOLO=13.2ms | total=21.4ms | ROI=14.7KB | det=1 | GPU=42% | pwr=8174mW
ROS=158.1ms | YOLO=13.3ms | total=21.0ms | ROI=14.7KB | det=1 | GPU=42% | pwr=8174mW
ROS=163.7ms | YOLO=13.3ms | total=21.1ms | ROI=14.7KB | det=1 | GPU=42% | pwr=8174mW
ROS=152.1ms | YOLO=13.1ms | total=21.4ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=158.6ms | YOLO=13.2ms | total=20.7ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=164.0ms | YOLO=13.2ms | total=21.0ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=152.8ms | YOLO=13.2ms | total=21.2ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=160.1ms | YOLO=13.0ms | total=20.7ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=166.0ms | YOLO=12.9ms | total=20.7ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=155.5ms | YOLO=13.1ms | total=20.8ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=162.0ms | YOLO=13.0ms | total=20.4ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=167.7ms | YOLO=13.2ms | total=21.2ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=156.2ms | YOLO=13.1ms | total=21.0ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=163.1ms | YOLO=13.1ms | total=20.8ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=150.3ms | YOLO=13.0ms | total=21.2ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=157.9ms | YOLO=13.3ms | total=20.9ms | ROI=15.0KB | det=1 | GPU=42% | pwr=8174mW
ROS=164.2ms | YOLO=13.1ms | total=20.8ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=153.0ms | YOLO=13.1ms | total=21.1ms | ROI=15.0KB | det=1 | GPU=42% | pwr=8174mW
ROS=158.0ms | YOLO=13.3ms | total=20.8ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=164.0ms | YOLO=13.2ms | total=20.9ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=149.7ms | YOLO=13.3ms | total=21.1ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=161.6ms | YOLO=13.0ms | total=20.7ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=164.7ms | YOLO=13.0ms | total=20.6ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=154.2ms | YOLO=12.9ms | total=20.4ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=160.3ms | YOLO=13.0ms | total=20.5ms | ROI=14.7KB | det=1 | GPU=42% | pwr=8174mW
ROS=165.6ms | YOLO=13.0ms | total=20.8ms | ROI=14.7KB | det=1 | GPU=42% | pwr=8174mW
ROS=156.7ms | YOLO=13.0ms | total=20.6ms | ROI=14.7KB | det=1 | GPU=42% | pwr=8174mW
ROS=161.5ms | YOLO=12.9ms | total=20.5ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=167.0ms | YOLO=13.5ms | total=21.6ms | ROI=14.7KB | det=1 | GPU=42% | pwr=8174mW
ROS=156.5ms | YOLO=13.0ms | total=21.0ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=163.4ms | YOLO=13.2ms | total=21.0ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=151.7ms | YOLO=13.2ms | total=21.6ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=159.2ms | YOLO=13.3ms | total=20.9ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=164.6ms | YOLO=13.0ms | total=20.7ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=153.4ms | YOLO=13.2ms | total=21.3ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=159.9ms | YOLO=13.2ms | total=20.8ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=166.3ms | YOLO=13.0ms | total=20.8ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=155.7ms | YOLO=13.0ms | total=21.0ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=161.9ms | YOLO=12.9ms | total=20.5ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=166.9ms | YOLO=13.1ms | total=20.9ms | ROI=14.9KB | det=1 | GPU=42% | pwr=8174mW
ROS=157.5ms | YOLO=13.0ms | total=21.0ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8174mW
ROS=162.7ms | YOLO=13.0ms | total=20.7ms | ROI=14.7KB | det=1 | GPU=42% | pwr=8174mW
ROS=151.2ms | YOLO=12.8ms | total=20.7ms | ROI=14.7KB | det=1 | GPU=42% | pwr=8174mW
ROS=156.7ms | YOLO=12.9ms | total=20.8ms | ROI=14.8KB | det=1 | GPU=41% | pwr=8213mW
ROS=163.5ms | YOLO=13.7ms | total=22.6ms | ROI=14.7KB | det=1 | GPU=41% | pwr=8213mW
ROS=153.9ms | YOLO=13.5ms | total=22.1ms | ROI=14.8KB | det=1 | GPU=41% | pwr=8213mW
ROS=157.6ms | YOLO=13.1ms | total=20.7ms | ROI=14.9KB | det=1 | GPU=41% | pwr=8213mW
ROS=165.0ms | YOLO=13.3ms | total=21.5ms | ROI=14.8KB | det=1 | GPU=41% | pwr=8213mW
ROS=156.1ms | YOLO=13.3ms | total=21.0ms | ROI=14.9KB | det=1 | GPU=41% | pwr=8213mW
ROS=163.9ms | YOLO=13.4ms | total=21.2ms | ROI=14.9KB | det=1 | GPU=41% | pwr=8213mW
ROS=153.5ms | YOLO=13.1ms | total=21.1ms | ROI=14.9KB | det=1 | GPU=41% | pwr=8213mW
ROS=160.0ms | YOLO=13.3ms | total=20.8ms | ROI=15.0KB | det=1 | GPU=41% | pwr=8213mW
ROS=165.7ms | YOLO=13.2ms | total=21.1ms | ROI=15.0KB | det=1 | GPU=41% | pwr=8213mW
ROS=154.2ms | YOLO=13.1ms | total=20.9ms | ROI=15.0KB | det=1 | GPU=41% | pwr=8213mW
ROS=159.9ms | YOLO=13.6ms | total=21.2ms | ROI=15.0KB | det=1 | GPU=41% | pwr=8213mW
ROS=165.8ms | YOLO=13.0ms | total=20.9ms | ROI=15.0KB | det=1 | GPU=41% | pwr=8213mW
ROS=156.1ms | YOLO=13.2ms | total=21.5ms | ROI=14.9KB | det=1 | GPU=41% | pwr=8213mW
ROS=163.2ms | YOLO=13.1ms | total=21.2ms | ROI=14.9KB | det=1 | GPU=41% | pwr=8213mW
ROS=152.0ms | YOLO=13.4ms | total=21.4ms | ROI=14.9KB | det=1 | GPU=41% | pwr=8213mW
ROS=158.0ms | YOLO=13.1ms | total=20.8ms | ROI=15.0KB | det=1 | GPU=41% | pwr=8213mW
ROS=164.2ms | YOLO=13.4ms | total=21.4ms | ROI=14.9KB | det=1 | GPU=41% | pwr=8213mW
ROS=154.0ms | YOLO=13.3ms | total=21.0ms | ROI=15.0KB | det=1 | GPU=41% | pwr=8213mW
ROS=159.5ms | YOLO=13.1ms | total=20.6ms | ROI=14.9KB | det=1 | GPU=41% | pwr=8213mW
ROS=166.3ms | YOLO=13.1ms | total=20.9ms | ROI=15.0KB | det=1 | GPU=41% | pwr=8213mW
ROS=154.8ms | YOLO=13.1ms | total=20.9ms | ROI=15.0KB | det=1 | GPU=41% | pwr=8213mW
ROS=161.6ms | YOLO=12.9ms | total=20.5ms | ROI=15.0KB | det=1 | GPU=41% | pwr=8213mW
ROS=166.4ms | YOLO=13.1ms | total=21.1ms | ROI=14.9KB | det=1 | GPU=41% | pwr=8213mW
ROS=155.7ms | YOLO=13.1ms | total=20.9ms | ROI=15.0KB | det=1 | GPU=41% | pwr=8213mW
ROS=161.6ms | YOLO=12.9ms | total=20.7ms | ROI=15.0KB | det=1 | GPU=41% | pwr=8213mW
ROS=151.1ms | YOLO=13.0ms | total=21.0ms | ROI=15.0KB | det=1 | GPU=41% | pwr=8213mW
ROS=157.8ms | YOLO=13.1ms | total=20.9ms | ROI=15.0KB | det=1 | GPU=41% | pwr=8213mW
ROS=164.1ms | YOLO=13.1ms | total=21.3ms | ROI=15.0KB | det=1 | GPU=41% | pwr=8213mW
ROS=152.7ms | YOLO=13.1ms | total=21.1ms | ROI=15.1KB | det=1 | GPU=41% | pwr=8213mW
ROS=159.7ms | YOLO=13.2ms | total=21.1ms | ROI=15.2KB | det=1 | GPU=41% | pwr=8213mW
ROS=164.7ms | YOLO=13.2ms | total=20.9ms | ROI=15.0KB | det=1 | GPU=41% | pwr=8213mW
ROS=153.5ms | YOLO=13.1ms | total=20.9ms | ROI=15.1KB | det=1 | GPU=41% | pwr=8213mW
ROS=161.4ms | YOLO=13.4ms | total=21.1ms | ROI=15.2KB | det=1 | GPU=41% | pwr=8213mW
ROS=166.0ms | YOLO=13.2ms | total=22.8ms | ROI=15.2KB | det=1 | GPU=41% | pwr=8213mW
ROS=158.3ms | YOLO=15.5ms | total=23.8ms | ROI=15.1KB | det=1 | GPU=41% | pwr=8213mW
ROS=167.1ms | YOLO=13.8ms | total=22.2ms | ROI=15.2KB | det=1 | GPU=41% | pwr=8213mW
ROS=157.5ms | YOLO=13.2ms | total=21.0ms | ROI=15.1KB | det=1 | GPU=41% | pwr=8213mW
ROS=162.2ms | YOLO=13.2ms | total=21.0ms | ROI=15.1KB | det=1 | GPU=41% | pwr=8213mW
ROS=153.1ms | YOLO=13.1ms | total=21.8ms | ROI=15.0KB | det=1 | GPU=41% | pwr=8213mW
ROS=158.6ms | YOLO=13.2ms | total=20.9ms | ROI=15.0KB | det=1 | GPU=41% | pwr=8213mW
ROS=163.9ms | YOLO=13.2ms | total=21.0ms | ROI=14.9KB | det=1 | GPU=41% | pwr=8213mW
ROS=155.0ms | YOLO=13.2ms | total=21.1ms | ROI=14.9KB | det=1 | GPU=41% | pwr=8213mW
ROS=159.4ms | YOLO=13.0ms | total=20.7ms | ROI=14.8KB | det=1 | GPU=41% | pwr=8213mW
ROS=167.5ms | YOLO=12.8ms | total=21.1ms | ROI=14.8KB | det=1 | GPU=42% | pwr=8239mW
ROS=156.7ms | YOLO=13.2ms | total=20.9ms | ROI=14.7KB | det=1 | GPU=42% | pwr=8239mW
